id_exposure,id_outcome,outcome,exposure,method,nsnp,b,se,pval
met-a-316,ieu-b-18,multiple sclerosis || id:ieu-b-18,Uridine || id:met-a-316,Inverse variance weighted,3,4.72471141531775,1.7705538190006598,0.0076192245364086
met-a-316,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Uridine || id:met-a-316,Inverse variance weighted,3,6.65466954185892,2.8798836616658394,0.0208470828129961
met-d-Ala,ieu-b-18,multiple sclerosis || id:ieu-b-18,Alanine || id:met-d-Ala,MR Egger,25,0.7442140678305641,0.317092384797164,0.0279046603183266
met-d-Lactate,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Lactate || id:met-d-Lactate,Inverse variance weighted,12,1.03385035761577,0.47103635284523904,0.0281749355281559
met-a-316,ieu-b-18,multiple sclerosis || id:ieu-b-18,Uridine || id:met-a-316,Weighted median,3,2.99527792433812,1.45532392218227,0.0395755391597363
met-a-652,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Isovalerylcarnitine || id:met-a-652,Inverse variance weighted,3,1.786542724198,0.871600947132141,0.040391221018502
met-c-866,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Histidine || id:met-c-866,Inverse variance weighted,5,0.521151696792319,0.26815627256776703,0.0519602854496657
met-c-850,ieu-b-18,multiple sclerosis || id:ieu-b-18,Creatinine || id:met-c-850,Inverse variance weighted,4,-0.261724427939476,0.138221633261246,0.058289711367058
met-a-316,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Uridine || id:met-a-316,Weighted median,3,6.3146617085759695,3.3540036491268097,0.0597378401396228
met-c-850,ieu-b-18,multiple sclerosis || id:ieu-b-18,Creatinine || id:met-c-850,Weighted median,4,-0.28402298530836895,0.152911199958465,0.0632489462870512
met-a-356,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Citrulline || id:met-a-356,Weighted median,4,-5.985785162808581,3.2550694408965897,0.0659281798956929
met-a-652,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Isovalerylcarnitine || id:met-a-652,Weighted median,3,1.72914760328666,0.9907680701713779,0.0809396702759621
met-a-656,ieu-b-18,multiple sclerosis || id:ieu-b-18,"Bradykinin, des-arg(9) || id:met-a-656",Inverse variance weighted,3,0.134063028713027,0.0773877027452691,0.0832102486216989
met-d-Lactate,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Lactate || id:met-d-Lactate,Weighted median,12,0.985290426487779,0.5721973996115699,0.0850801232619439
met-a-467,ieu-b-18,multiple sclerosis || id:ieu-b-18,Hexanoylcarnitine || id:met-a-467,Inverse variance weighted,3,0.390558525464359,0.22848837801351,0.0873926862730642
met-a-356,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Citrulline || id:met-a-356,MR Egger,4,120.91964529013201,40.1823608434849,0.0949596057942466
met-c-866,ieu-b-18,multiple sclerosis || id:ieu-b-18,Histidine || id:met-c-866,Weighted median,4,0.240075069639743,0.14684068473227,0.102062539120504
met-a-463,ieu-b-18,multiple sclerosis || id:ieu-b-18,Acetylcarnitine || id:met-a-463,Wald ratio,1,1.4971477272727298,0.9488522727272729,0.114599790933821
met-a-467,ieu-b-18,multiple sclerosis || id:ieu-b-18,Hexanoylcarnitine || id:met-a-467,Weighted median,3,0.35915814322175005,0.24144781280728697,0.13687786082209402
met-a-656,ieu-b-18,multiple sclerosis || id:ieu-b-18,"Bradykinin, des-arg(9) || id:met-a-656",Weighted median,3,0.12381342766125301,0.0841418946768058,0.14116034875337302
met-a-656,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,"Bradykinin, des-arg(9) || id:met-a-656",Weighted median,3,0.33259406182469303,0.22702195607601103,0.14291263024818
met-a-356,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Citrulline || id:met-a-356,Simple mode,4,-8.990438799590802,4.596845135573241,0.14544947443960402
met-d-Val,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Valine || id:met-d-Val,MR Egger,19,0.698841513951464,0.466301735262398,0.152293992450159
met-c-850,ieu-b-18,multiple sclerosis || id:ieu-b-18,Creatinine || id:met-c-850,Weighted mode,4,-0.44655815758119,0.234538611230601,0.153029403927561
met-d-Gly,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Glycine || id:met-d-Gly,Weighted mode,43,-0.12951542990777698,0.0896935652295261,0.156164158854142
met-a-656,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,"Bradykinin, des-arg(9) || id:met-a-656",Weighted median,3,0.33259406182469303,0.23522945283004898,0.15738734799579
met-d-Gly,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Glycine || id:met-d-Gly,Weighted median,43,-0.12108877882109402,0.0858127896744733,0.158220794345509
met-c-940,ieu-b-18,multiple sclerosis || id:ieu-b-18,Valine || id:met-c-940,Weighted mode,4,0.26268755707768204,0.141041919743983,0.15943751949378399
met-a-316,ieu-b-18,multiple sclerosis || id:ieu-b-18,Uridine || id:met-a-316,MR Egger,3,16.664349525744697,4.534618889364791,0.16913844205672499
met-d-Tyr,ieu-b-18,multiple sclerosis || id:ieu-b-18,Tyrosine || id:met-d-Tyr,Weighted median,23,-0.154919104702236,0.112673514516425,0.16915064502866
met-a-379,ieu-b-18,multiple sclerosis || id:ieu-b-18,Carnitine || id:met-a-379,Weighted mode,16,0.9927929532725981,0.6910339767174621,0.171339273222327
met-d-Val,ieu-b-18,multiple sclerosis || id:ieu-b-18,Valine || id:met-d-Val,Inverse variance weighted,14,0.201932165768577,0.148452503757346,0.173751576032104
met-c-866,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Histidine || id:met-c-866,Weighted median,5,0.4795461693199629,0.355933930159968,0.17788690165918303
met-c-850,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Creatinine || id:met-c-850,Inverse variance weighted,6,-0.37882876940548704,0.282740920165157,0.180296016840338
met-a-753,ieu-b-18,multiple sclerosis || id:ieu-b-18,Cis-4-decenoyl carnitine || id:met-a-753,Inverse variance weighted,2,0.358049873069029,0.267306943530196,0.180417420648523
met-a-316,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Uridine || id:met-a-316,Simple mode,3,9.5229647522482,4.73244027030021,0.18184339099010602
met-c-940,ieu-b-18,multiple sclerosis || id:ieu-b-18,Valine || id:met-c-940,MR Egger,4,1.42705442871222,0.7262435558342389,0.18835356068415698
met-a-304,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Tryptophan || id:met-a-304,Weighted median,18,3.7848274660047,2.8813213166702205,0.188989755132602
met-a-356,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Citrulline || id:met-a-356,Weighted mode,4,-8.41880019178249,5.17496888766108,0.20225033870701398
met-d-His,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Histidine || id:met-d-His,MR Egger,15,1.2969050760068501,0.98606839467209,0.21115995905961105
met-a-341,ieu-b-18,multiple sclerosis || id:ieu-b-18,Citrate || id:met-a-341,MR Egger,6,-2.83055373505874,1.93840579052762,0.21800552702743203
met-d-Gln,ieu-b-18,multiple sclerosis || id:ieu-b-18,Glutamine || id:met-d-Gln,Simple mode,30,0.23570940719799102,0.187808971774826,0.21948108052807302
met-a-652,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Isovalerylcarnitine || id:met-a-652,Simple mode,3,2.46745033876278,1.3994351253550101,0.219924477278874
met-a-379,ieu-b-18,multiple sclerosis || id:ieu-b-18,Carnitine || id:met-a-379,Weighted median,16,0.926303885381587,0.757103098572324,0.22114676528785698
met-d-Tyr,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Tyrosine || id:met-d-Tyr,MR Egger,31,0.36602105454633704,0.296359480831013,0.22672217924954602
met-a-325,ieu-b-18,multiple sclerosis || id:ieu-b-18,Tyrosine || id:met-a-325,Weighted median,3,-1.48147118974998,1.22712481564727,0.22732811312980603
met-d-Tyr,ieu-b-18,multiple sclerosis || id:ieu-b-18,Tyrosine || id:met-d-Tyr,Weighted mode,23,-0.12985737840655198,0.10547399224442501,0.231255872326557
met-c-940,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Valine || id:met-c-940,Inverse variance weighted,5,0.29530042582276195,0.255142209992866,0.247110843557261
met-d-Val,ieu-b-18,multiple sclerosis || id:ieu-b-18,Valine || id:met-d-Val,Weighted median,14,0.16250187326019197,0.14287286220330403,0.255376138319955
met-c-866,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Histidine || id:met-c-866,Weighted mode,5,0.6184096791689039,0.469885808130652,0.25849866867025
met-a-656,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,"Bradykinin, des-arg(9) || id:met-a-656",MR Egger,3,1.5911341946479398,0.6851696783225849,0.258861561880816
met-a-656,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,"Bradykinin, des-arg(9) || id:met-a-656",MR Egger,3,1.5911341946479398,0.6851696783225849,0.258861561880816
met-a-379,ieu-b-18,multiple sclerosis || id:ieu-b-18,Carnitine || id:met-a-379,Simple mode,16,1.3565578723045302,1.1639308203608998,0.262017282690424
met-c-866,ieu-b-18,multiple sclerosis || id:ieu-b-18,Histidine || id:met-c-866,Weighted mode,4,0.220134983820193,0.161057634307937,0.26510229298487803
met-a-656,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,"Bradykinin, des-arg(9) || id:met-a-656",Weighted mode,3,0.3544591280796961,0.235291163306354,0.270921224955936
met-c-866,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Histidine || id:met-c-866,Simple mode,5,0.57224119278113,0.45207382678315206,0.274284900752857
met-c-940,ieu-b-18,multiple sclerosis || id:ieu-b-18,Valine || id:met-c-940,Weighted median,4,0.138958091254557,0.12829601556800801,0.278761697756412
met-a-656,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,"Bradykinin, des-arg(9) || id:met-a-656",Weighted mode,3,0.3544591280796961,0.241590516580053,0.280014350065449
met-a-304,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Tryptophan || id:met-a-304,Weighted mode,18,5.90784186945346,5.3121407526773705,0.281558805157658
met-a-652,ieu-b-18,multiple sclerosis || id:ieu-b-18,Isovalerylcarnitine || id:met-a-652,MR Egger,3,9.21723143787278,4.38644041299595,0.28277304387074204
met-c-866,ieu-b-18,multiple sclerosis || id:ieu-b-18,Histidine || id:met-c-866,MR Egger,4,-1.79312200932581,1.2745461087241698,0.294736015891613
met-a-379,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Carnitine || id:met-a-379,Simple mode,17,5.7343514653670296,5.30755975303008,0.29597586084709904
met-c-938,ieu-b-18,multiple sclerosis || id:ieu-b-18,Tyrosine || id:met-c-938,Weighted median,3,-0.14822659509939498,0.141841921776401,0.29601714730035605
met-a-304,ieu-b-18,multiple sclerosis || id:ieu-b-18,Tryptophan || id:met-a-304,Inverse variance weighted,17,-0.872033457228502,0.835756065903708,0.29675998369001
met-d-Gly,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Glycine || id:met-d-Gly,MR Egger,43,-0.11955891914927302,0.113560825589283,0.298589725495548
met-a-467,ieu-b-18,multiple sclerosis || id:ieu-b-18,Hexanoylcarnitine || id:met-a-467,Weighted mode,3,0.340236499712144,0.24757295185742698,0.30308899214814505
met-a-467,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Hexanoylcarnitine || id:met-a-467,MR Egger,4,-1.68580881181929,1.2394487958254,0.30680996209476596
met-a-316,ieu-b-18,multiple sclerosis || id:ieu-b-18,Uridine || id:met-a-316,Simple mode,3,2.44297671162174,1.80771067642968,0.30912604374502195
met-d-Creatinine,ieu-b-18,multiple sclerosis || id:ieu-b-18,Creatinine || id:met-d-Creatinine,Inverse variance weighted,55,-0.254135280334892,0.251139084090524,0.311571320347269
met-c-940,ieu-b-18,multiple sclerosis || id:ieu-b-18,Valine || id:met-c-940,Inverse variance weighted,4,0.12333554680266802,0.12218663788941901,0.312781447534703
met-a-379,ieu-b-18,multiple sclerosis || id:ieu-b-18,Carnitine || id:met-a-379,MR Egger,16,1.73339477012738,1.6718332298864698,0.31739588312512396
met-a-652,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Isovalerylcarnitine || id:met-a-652,Weighted mode,3,1.6693039559377199,1.27582524646503,0.320884293501268
met-a-463,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Acetylcarnitine || id:met-a-463,Inverse variance weighted,2,1.64567768190182,1.6648181949372602,0.322906394818648
met-a-304,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Tryptophan || id:met-a-304,Simple mode,18,5.48269998980844,5.40814029646718,0.32489702177671
met-a-656,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,"Bradykinin, des-arg(9) || id:met-a-656",Simple mode,3,0.3544591280796961,0.27406871698108604,0.32513791094889505
met-c-849,ieu-b-18,multiple sclerosis || id:ieu-b-18,Citrate || id:met-c-849,MR Egger,4,1.01683115340351,0.788336148532885,0.32612786535197497
met-a-656,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,"Bradykinin, des-arg(9) || id:met-a-656",Simple mode,3,0.3544591280796961,0.279462046533726,0.332324631346365
met-a-316,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Uridine || id:met-a-316,Weighted mode,3,4.49242282149996,3.56934000917431,0.33518314223381895
met-a-316,ieu-b-18,multiple sclerosis || id:ieu-b-18,Uridine || id:met-a-316,Weighted mode,3,2.4286139251195,1.9329410261809798,0.335826399043375
met-c-866,ieu-b-18,multiple sclerosis || id:ieu-b-18,Histidine || id:met-c-866,Simple mode,4,0.223862838188503,0.199419938978624,0.343357272491218
met-c-940,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Valine || id:met-c-940,MR Egger,5,-1.54228649078645,1.39400340986382,0.349312561476564
met-a-356,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Citrulline || id:met-a-356,Inverse variance weighted,4,-4.02883136613488,4.3181995025672295,0.350825799659646
met-d-Creatinine,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Creatinine || id:met-d-Creatinine,Inverse variance weighted,68,-0.26046808518633896,0.281815353694259,0.35535571693763396
met-d-Gln,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Glutamine || id:met-d-Gln,MR Egger,40,0.205491834325145,0.22002357079025303,0.356224802719524
met-d-Citrate,ieu-b-18,multiple sclerosis || id:ieu-b-18,Citrate || id:met-d-Citrate,Simple mode,26,0.159871846774577,0.170542520724762,0.35750555277459295
met-d-Ala,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Alanine || id:met-d-Ala,MR Egger,32,-0.6113993497282111,0.654982862939629,0.35803596153177203
met-a-304,ieu-b-18,multiple sclerosis || id:ieu-b-18,Tryptophan || id:met-a-304,MR Egger,17,10.4260458677304,11.045359467055599,0.360162286372445
met-a-304,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Tryptophan || id:met-a-304,Inverse variance weighted,18,1.87539598703444,2.05442793785538,0.36131850727236403
met-a-652,ieu-b-18,multiple sclerosis || id:ieu-b-18,Isovalerylcarnitine || id:met-a-652,Weighted median,3,0.31983836343882693,0.35180423466945904,0.363277638602366
met-a-656,ieu-b-18,multiple sclerosis || id:ieu-b-18,"Bradykinin, des-arg(9) || id:met-a-656",Weighted mode,3,0.11220213204145402,0.0968867093960028,0.366437259820678
met-d-His,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Histidine || id:met-d-His,Weighted mode,15,0.5051380762969729,0.5432796849613529,0.368233534954496
met-c-940,ieu-b-18,multiple sclerosis || id:ieu-b-18,Valine || id:met-c-940,Simple mode,4,0.25666170294949303,0.243008232652825,0.3684161197088329
met-c-860,ieu-b-18,multiple sclerosis || id:ieu-b-18,Glutamine || id:met-c-860,Simple mode,5,-0.16605212266359198,0.166557234252426,0.37520493859186893
met-c-866,ieu-b-18,multiple sclerosis || id:ieu-b-18,Histidine || id:met-c-866,Inverse variance weighted,4,0.114635925350146,0.12962453033331,0.37649701389304996
met-c-860,ieu-b-18,multiple sclerosis || id:ieu-b-18,Glutamine || id:met-c-860,Weighted mode,5,-0.0863639228074934,0.0872667612341027,0.37836565531331
met-d-His,ieu-b-18,multiple sclerosis || id:ieu-b-18,Histidine || id:met-d-His,MR Egger,11,0.352334737526967,0.381955330179791,0.38035826793922795
met-a-656,ieu-b-18,multiple sclerosis || id:ieu-b-18,"Bradykinin, des-arg(9) || id:met-a-656",Simple mode,3,0.11670641074504699,0.109871634204547,0.399440456217331
met-a-304,ieu-b-18,multiple sclerosis || id:ieu-b-18,Tryptophan || id:met-a-304,Weighted median,17,-0.8668542556012181,1.0297512718821,0.39989467379271393
met-d-Val,ieu-b-18,multiple sclerosis || id:ieu-b-18,Valine || id:met-d-Val,Weighted mode,14,0.119139187091951,0.13695920905724798,0.400138742198661
met-d-Gln,ieu-b-18,multiple sclerosis || id:ieu-b-18,Glutamine || id:met-d-Gln,Weighted median,30,-0.0659211853606802,0.0784688467701882,0.400855841135451
met-d-Lactate,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Lactate || id:met-d-Lactate,Weighted mode,12,0.7319956902460699,0.8446454347730559,0.4046517743647079
met-a-360,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Gamma-glutamyltyrosine || id:met-a-360,Inverse variance weighted,5,-1.84157613205769,2.21884138320395,0.40655463726797403
met-a-467,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Hexanoylcarnitine || id:met-a-467,Weighted mode,4,-0.66098621316724,0.6981151524029809,0.41358362845277
met-d-Gln,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Glutamine || id:met-d-Gln,Inverse variance weighted,40,0.11942642035466099,0.146114617430405,0.41372985687595004
met-a-379,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Carnitine || id:met-a-379,Inverse variance weighted,17,-1.6680408567053702,2.04718636476034,0.415188644780542
met-a-325,ieu-b-18,multiple sclerosis || id:ieu-b-18,Tyrosine || id:met-a-325,Weighted mode,3,-1.64083891708685,1.6158825397928203,0.4167509153402
met-c-860,ieu-b-18,multiple sclerosis || id:ieu-b-18,Glutamine || id:met-c-860,Weighted median,5,-0.0743262454017916,0.0915619190657084,0.41692972209779605
met-d-Ala,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Alanine || id:met-d-Ala,Inverse variance weighted,32,0.18944703670942198,0.23597960469757198,0.422083948287936
met-a-467,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Hexanoylcarnitine || id:met-a-467,Simple mode,4,1.40224985887236,1.52443467711296,0.425489143654875
met-a-652,ieu-b-18,multiple sclerosis || id:ieu-b-18,Isovalerylcarnitine || id:met-a-652,Weighted mode,3,0.436746943465355,0.44098769951067107,0.426368956575846
met-c-938,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Tyrosine || id:met-c-938,Simple mode,4,-0.4948095664392921,0.549815240813156,0.43447105207739
met-a-360,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Gamma-glutamyltyrosine || id:met-a-360,MR Egger,5,17.0454945399815,19.125445269421,0.43845689318687203
met-d-Tyr,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Tyrosine || id:met-d-Tyr,Weighted mode,31,0.20939445598449,0.266829855675919,0.43875409949938393
met-c-938,ieu-b-18,multiple sclerosis || id:ieu-b-18,Tyrosine || id:met-c-938,Weighted mode,3,-0.151437958984034,0.158419597697673,0.439989862085981
met-c-850,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Creatinine || id:met-c-850,Weighted median,6,-0.278290623245763,0.3615796781117439,0.44150618483338105
met-a-325,ieu-b-18,multiple sclerosis || id:ieu-b-18,Tyrosine || id:met-a-325,Simple mode,3,-1.57366740054542,1.7689279801128999,0.46753580888162893
met-d-Creatinine,ieu-b-18,multiple sclerosis || id:ieu-b-18,Creatinine || id:met-d-Creatinine,MR Egger,55,0.664881093193292,0.920439639069683,0.473253676939385
met-d-Gly,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Glycine || id:met-d-Gly,Inverse variance weighted,43,-0.0689365650825487,0.0964247951316839,0.4746549496752249
met-c-938,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Tyrosine || id:met-c-938,Weighted mode,4,0.32068750652789196,0.3961337044999871,0.47745351319341495
met-d-Tyr,ieu-b-18,multiple sclerosis || id:ieu-b-18,Tyrosine || id:met-d-Tyr,Inverse variance weighted,23,-0.196674038397816,0.28088267797316807,0.48380243989148797
met-d-His,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Histidine || id:met-d-His,Inverse variance weighted,15,0.26130062911743895,0.381695500007497,0.49360977879028606
met-c-860,ieu-b-18,multiple sclerosis || id:ieu-b-18,Glutamine || id:met-c-860,MR Egger,5,-0.164880048931441,0.21376497692865098,0.49670317202933795
met-a-379,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Carnitine || id:met-a-379,MR Egger,17,-3.06348513487544,4.42241645127163,0.49907203793340005
met-a-656,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,"Bradykinin, des-arg(9) || id:met-a-656",Inverse variance weighted,3,0.21111895019866797,0.313854295707237,0.5011601341696861
met-a-656,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,"Bradykinin, des-arg(9) || id:met-a-656",Inverse variance weighted,3,0.21111895019866797,0.313854295707237,0.5011601341696861
met-d-Tyr,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Tyrosine || id:met-d-Tyr,Inverse variance weighted,31,0.12645639452181,0.18834406695193,0.501958346446456
met-c-840,ieu-b-18,multiple sclerosis || id:ieu-b-18,Alanine || id:met-c-840,Weighted median,4,-0.0840000538619927,0.12584239400624,0.504451511397183
met-a-469,ieu-b-18,multiple sclerosis || id:ieu-b-18,Alanine || id:met-a-469,Inverse variance weighted,2,-0.668244190840063,1.00612579865036,0.506577937910984
met-a-469,ieu-b-18,multiple sclerosis || id:ieu-b-18,Alanine || id:met-a-469,Inverse variance weighted,2,-0.668244190840063,1.00612579865036,0.506577937910984
met-d-Citrate,ieu-b-18,multiple sclerosis || id:ieu-b-18,Citrate || id:met-d-Citrate,Weighted mode,26,0.0712085482258114,0.106037195942924,0.508033018628964
met-a-325,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Tyrosine || id:met-a-325,Simple mode,3,-3.46489367420147,4.39133323455402,0.5127743877025179
met-c-866,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Histidine || id:met-c-866,MR Egger,5,-0.915211909946215,1.23858371503534,0.513518455379637
met-d-His,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Histidine || id:met-d-His,Weighted median,15,0.281892004022817,0.439909134564074,0.52165524654124
met-c-849,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Citrate || id:met-c-849,Inverse variance weighted,5,-0.16652550352430898,0.260444822395463,0.522570030535575
met-a-325,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Tyrosine || id:met-a-325,Weighted mode,3,-3.42394188762716,4.48560241066903,0.525023153007121
met-d-Creatinine,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Creatinine || id:met-d-Creatinine,Simple mode,68,0.385209849803129,0.6031451983484,0.5252158806983179
met-d-Creatinine,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Creatinine || id:met-d-Creatinine,MR Egger,68,-0.516829469748046,0.81959646129437,0.530486046491867
met-d-Val,ieu-b-18,multiple sclerosis || id:ieu-b-18,Valine || id:met-d-Val,MR Egger,14,-0.18324225407031197,0.28488017240397806,0.532177139809626
met-d-Lactate,finn-b-G6_MS,MS-disease / Multiple Sclerosis || id:finn-b-G6_MS,Lactate || id:met-d-Lactate,MR Egger,12,1.01157953973601,1.56383506554434,0.532289610018058
