met_name,met_exposure,ms_outcome,b_ivw,se_ivw,p_ivw,or_ivw,low_ci_ivw,up_ci_ivw,b_egger,se_egger,p_egger,egger_int,p_int,het_ivw_p,het_egger_p,or_egger,low_ci_egger,up_ci_egger,b_wmed,se_wmed,p_wmed,or_wmed,low_ci_wmed,up_ci_wmed,b_wmod,se_wmod,p_wmod,or_wmod,low_ci_wmod,up_ci_wmod,NA
"Bradykinin, des-arg(9)",3,"Bradykinin, des-arg(9) || id:met-a-656","Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",-0.0000008313567081,0.0003201947309,0.9979283671,0.9999991686,0.9993717844,1.000626947,0.001087555469,0.001887601292,0.6672365099,-0.0001501879959,0.6532238038,0.7369131848,0.6216838305,1.001088147,0.9973912656,1.004798731,0.00009071671608,0.0006259729064,0.8847731241,1.000090721,0.998864455,1.001318492,0.000131394217,0.0006683503596,0.8623105135,1.000131403,0.9988221218,1.0014424
Glycine,49,Glycine || id:met-d-Gly,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",-0.0003336539524,0.0003318533504,0.3146918151,0.9996664017,0.9990163975,1.000316829,-0.0004704913471,0.0003813967139,0.2288242747,0.00003120083416,0.4612705095,0.002224457434,0.002056777854,0.9995296193,0.9987827126,1.000277085,-0.0004079933509,0.0002530195435,0.1068537497,0.9995920899,0.9990964967,1.000087929,-0.0004597341999,0.0002647507833,0.09431589141,0.9995403715,0.999021833,1.000059179
Valine,5,Valine || id:met-c-940,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",-0.0003456782001,0.0004852126683,0.4762009184,0.9996543815,0.9987041453,1.000605522,0.003738298196,0.005053358216,0.5945250589,-0.0003962475992,0.5633751464,0.6894868474,0.785785887,1.003745294,0.9938526886,1.013736369,-0.0002312283132,0.0009108369007,0.7996009549,0.9997687984,0.9979855631,1.00155522,-0.00005641898074,0.00100057929,0.9601605071,0.9999435826,0.9979844795,1.001906532
Citrate,6,Citrate || id:met-c-849,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",0.0004353200896,0.0006468909167,0.5009841688,1.000435415,0.9991677604,1.001704678,-0.006433193763,0.005878982964,0.3880384355,0.0005935974314,0.3598649573,0.5437608976,0.6866078643,0.9935874549,0.982204248,1.005102587,0.000530317603,0.0009379233126,0.5717902967,1.000530458,0.998692843,1.002371455,0.0004004772879,0.001138527544,0.7482821909,1.000400557,0.9981706386,1.002635458
Glutamine,46,Glutamine || id:met-d-Gln,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",-0.001043703798,0.0007588924176,0.1690388419,0.9989568407,0.9974720677,1.000443824,-0.002143175022,0.001857675047,0.2622297761,0.00004542202261,0.5229171167,0.4197008033,0.3851400721,0.9978591199,0.9942324783,1.00149899,-0.001258668252,0.001109816553,0.2567430427,0.9987421235,0.9965719804,1.000916992,-0.002287328793,0.001557869634,0.1568586996,0.9977152852,0.9946734832,1.000766389
Tyrosine,5,Tyrosine || id:met-c-938,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",0.0008105313204,0.000760947115,0.2868030013,1.00081086,0.9993193068,1.002304639,0.001458761976,0.004805365103,0.8123701487,-0.00005037506135,0.9124828792,0.5545423808,0.2820722307,1.001459826,0.9920718413,1.01093665,0.0009015276643,0.00117684037,0.4436419516,1.000901934,0.9985959072,1.003213286,0.0009678449351,0.001284420024,0.5297618161,1.000968313,0.9984515817,1.003491389
Alanine,36,Alanine || id:met-d-Ala,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",0.001044893261,0.0008620557869,0.2254761277,1.001045439,0.9993554717,1.002738265,0.003312225278,0.002984085738,0.2801826824,-0.00008747519749,0.4363489676,0.1832952508,0.1718525041,1.003317717,0.9974666316,1.009203124,0.0001475519535,0.001193545559,0.9016122743,1.000147563,0.9978106029,1.002489996,-0.0009054196461,0.002051411377,0.6634603003,0.9990949901,0.9950859278,1.003120204
Histidine,5,Histidine || id:met-c-866,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",0.001528257457,0.0009842149504,0.1204785758,1.001529426,0.9995992765,1.003463302,0.04971219927,0.04230553285,0.4488676107,-0.003884096824,0.4586246007,0.3302362793,0.337987581,1.050968583,0.9673386431,1.141828636,0.001150205586,0.001214630195,0.3436594234,1.001150867,0.9987702871,1.003537122,0.0005199157864,0.001423005312,0.7498612099,1.000520051,0.997733398,1.003314487
Creatinine,78,Creatinine || id:met-d-Creatinine,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",-0.002195395045,0.001037896911,0.03440999117,0.9978070131,0.9957792595,0.9998388959,-0.003041645366,0.003975967075,0.4486481988,0.00002480217908,0.8264420561,0.00004779240773,0.00003285517721,0.9969629758,0.9892239414,1.004762555,-0.001706145012,0.001101907052,0.1215364739,0.9982953096,0.9961415801,1.000453696,-0.00208530166,0.001644073274,0.2116496149,0.9979168711,0.9947063756,1.001137729
Alanine,6,Alanine || id:met-c-840,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",0.001302897163,0.001066033864,0.2216353465,1.001303746,0.99921378,1.003398084,0.00838158166,0.00451485293,0.3145525549,-0.0005995629043,0.3558431441,0.2326669243,0.5483026574,1.008416805,0.9995325792,1.017379998,0.001406685058,0.001038207861,0.1754441326,1.001407675,0.9993719949,1.003447501,0.002115870115,0.001140952109,0.2048325732,1.00211811,0.9998796112,1.004361621
Citrate,38,Citrate || id:met-d-Citrate,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",-0.00001673583545,0.00106618499,0.987476173,0.9999832643,0.9978957586,1.002075137,-0.0008052469275,0.00223342603,0.7231565653,0.00004099359904,0.6909202361,0.000723794922,0.0004934367376,0.9991950772,0.9948306454,1.003578656,-0.00002452901339,0.001012144241,0.9806653986,0.9999754713,0.9979936836,1.001961194,-0.00002168591305,0.001063034736,0.983961808,0.9999783143,0.9978969805,1.002063989
Lactate,12,Lactate || id:met-d-Lactate,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",0.002362300993,0.001291811267,0.06744853905,1.002365093,0.9998303653,1.004906247,0.003039517881,0.00489287918,0.5541419295,-0.0000256602124,0.8893635526,0.3250563263,0.2399427083,1.003044142,0.9934708826,1.012709651,0.003282354689,0.001574024344,0.03703967283,1.003287748,1.000197286,1.006387758,0.003219287279,0.002027684634,0.1510238456,1.003224475,0.9992453103,1.007219485
Citrulline,4,Citrulline || id:met-a-356,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",0.002032591325,0.00130749154,0.1200477473,1.002034658,0.9994700484,1.004605849,-0.02107158454,0.1096779862,0.8653855431,0.0002341526601,0.8524160018,0.9891775609,0.9623925086,0.9791488701,0.7897487378,1.213971563,0.001675277805,0.007597635113,0.825481848,1.001676682,0.986870862,1.01670463,0.0002044759923,0.009948144315,0.9848919307,1.000204497,0.9808910489,1.019898221
Cis-4-decenoyl carnitine,2,Cis-4-decenoyl carnitine || id:met-a-753,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",0.0009550234563,0.001343705002,0.4772460303,1.00095548,0.9983227698,1.003595132,NA,NA,NA,NA,NA,NA,0.513059258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyrosine,38,Tyrosine || id:met-d-Tyr,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",-0.0007405125543,0.001456217634,0.6110902753,0.9992597616,0.9964117541,1.002115909,0.005302950645,0.005030531951,0.3096667277,-0.0002100018502,0.2307310618,0.009078664397,0.01522427335,1.005317036,0.9954534749,1.015278332,-0.0004893352735,0.001478307436,0.7406365595,0.9995107844,0.996618911,1.002411049,-0.0004936079852,0.001703079528,0.7759122966,0.9995065138,0.9961756875,1.002848477
Hexanoylcarnitine,4,Hexanoylcarnitine || id:met-a-467,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",0.00002506318527,0.001533052937,0.9869563292,1.000025063,0.9970247144,1.003034442,0.0004762185747,0.003629284051,0.9076133958,-0.00002128914669,0.8980150741,0.4835760534,0.2968674965,1.000476332,0.9933847993,1.007618489,0.0001470965225,0.001837344246,0.9361900804,1.000147107,0.9965518603,1.003755325,0.0001754109914,0.001998446841,0.935587339,1.000175426,0.996265446,1.004100752
Creatinine,6,Creatinine || id:met-c-850,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",-0.002506825205,0.001609390839,0.1193224931,0.9974963143,0.9943547633,1.000647791,0.005239636117,0.01286435757,0.7232455567,-0.0005489592263,0.6049130225,0.04202280436,0.03140728703,1.005253387,0.9802236641,1.030922237,-0.001676365704,0.00119596576,0.1610097221,0.9983250386,0.9959876126,1.00066795,-0.00152735709,0.001306208609,0.3267355224,0.9984738087,0.9959208166,1.001033345
Acetylcarnitine,2,Acetylcarnitine || id:met-a-463,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",-0.004944636654,0.00171833969,0.00400755487,0.9950675679,0.9917218715,0.9984245515,NA,NA,NA,NA,NA,NA,0.6903681513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valine,22,Valine || id:met-d-Val,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",-0.0003533994909,0.001815578078,0.8456681569,0.9996466629,0.9960957091,1.003210275,0.003937973637,0.003001622949,0.2465399254,-0.0002653348555,0.1528158053,0.001489331378,0.01752257904,1.003945738,0.9980566833,1.00986954,0.0004820353104,0.001152186165,0.6756796724,1.000482152,0.998225327,1.002744078,0.0007367763306,0.001150694368,0.5456444805,1.000737048,0.9984825678,1.002996618
Histidine,17,Histidine || id:met-d-His,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",0.0008324661282,0.002485180959,0.73764618,1.000832813,0.9959696552,1.005719716,0.005007093336,0.006793852628,0.5145266177,-0.0001839179117,0.5516160069,0.01850288079,0.01608232249,1.00501965,0.9917255653,1.018491941,0.0008941850592,0.00178296452,0.6160080893,1.000894585,0.9974029528,1.00439844,0.002352002364,0.002035166283,0.312142089,1.00235477,0.9983644155,1.006361075
Glutamine,6,Glutamine || id:met-c-860,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",-0.001214598817,0.003221350856,0.706139106,0.9987861385,0.9924998213,1.005112272,NA,NA,NA,NA,NA,NA,0.02757137146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isobutyrylcarnitine,3,Isobutyrylcarnitine || id:met-a-573,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",-0.002332417978,0.003361568391,0.4877774487,0.9976703,0.9911185828,1.004265327,NA,NA,NA,NA,NA,NA,0.3374612302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lactate,2,Lactate || id:met-c-894,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",0.001355401299,0.003735487622,0.7167210157,1.00135632,0.9940516077,1.008714711,NA,NA,NA,NA,NA,NA,0.02252630112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isovalerylcarnitine,3,Isovalerylcarnitine || id:met-a-652,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",-0.001450163943,0.0037880029,0.7018452695,0.998550887,0.9911646138,1.005992204,NA,NA,NA,NA,NA,NA,0.1385154996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citrate,6,Citrate || id:met-a-341,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",0.004943867799,0.00494742147,0.3176582418,1.004956109,0.9952581997,1.014748516,-0.05787626111,0.1140954521,0.6623738335,0.0006724972291,0.6367523427,0.5733274992,0.4292236531,0.9437667209,0.7546483897,1.180278969,0.005895709457,0.007421378043,0.4269495288,1.005913123,0.9913871138,1.020651971,0.01146276207,0.01059603814,0.3585427993,1.011528711,0.9907376892,1.032756041
Tyrosine,3,Tyrosine || id:met-a-325,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",0.01782701868,0.005680098655,0.001698119715,1.017986868,1.00671648,1.029383431,-0.0406891219,0.07722801203,0.6912955519,0.0006297348865,0.5857439569,0.5655986728,0.4542117849,0.9601275662,0.8252606316,1.11703492,0.0137318021,0.009112303503,0.1318230143,1.013826516,0.995880197,1.032096238,0.01344898958,0.01042329253,0.3260030802,1.013539834,0.9930436445,1.03445906
Carnitine,17,Carnitine || id:met-a-379,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",-0.01679990736,0.005780893246,0.003659536472,0.9833404241,0.9722615191,0.9945455731,-0.02804083832,0.03126641843,0.3849692762,0.00006759285277,0.7196719455,0.3211907515,0.2669802787,0.9723486569,0.9145501093,1.033800008,-0.01561381992,0.008062683674,0.05279992195,0.9845074438,0.9690716962,1.000189058,-0.01527899648,0.01249745715,0.2403555012,0.9848371352,0.9610065901,1.009258618
Tryptophan,20,Tryptophan || id:met-a-304,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",0.001083523572,0.006443380866,0.8664568409,1.001084111,0.9885208906,1.013806998,0.08374447936,0.0871061817,0.3506529523,-0.0004381614923,0.3554601477,0.188069703,0.1887344533,1.087351018,0.9166920956,1.289781205,0.004802940756,0.007939873275,0.5452361192,1.004814493,0.9892984624,1.020573876,0.005954595242,0.01371134388,0.6695451723,1.005972359,0.979297659,1.033373641
Gamma-glutamyltyrosine,5,Gamma-glutamyltyrosine || id:met-a-360,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",-0.005613711853,0.007238511356,0.4380241676,0.9944020156,0.9803935619,1.00861063,0.157698037,0.2434231382,0.5835292118,-0.001643692384,0.5711993504,0.2874856062,0.2147908271,1.170812599,0.7265766369,1.886658713,-0.009328391631,0.008305465202,0.2613682521,0.9907149828,0.9747179777,1.00697453,-0.01050582074,0.0127801424,0.4712989874,0.9895491726,0.9650697506,1.014649526
Alanine,2,Alanine || id:met-a-469,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",0.01090764137,0.01325387726,0.4105208488,1.010967347,0.9850430255,1.037573943,NA,NA,NA,NA,NA,NA,0.08829563313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradykinin, des-arg(9)",3,"Bradykinin, des-arg(9) || id:met-a-656",multiple sclerosis || id:ieu-b-18,0.1340630287,0.01704479119,0,1.143464888,1.105895305,1.182310789,0.1288391146,0.2494365204,0.6964745814,0.0007129318631,0.9859775808,0.9526469417,0.7560262245,1.137507101,0.6976369326,1.854721768,0.1238134277,0.08572771524,0.1486648111,1.131804688,0.9567502492,1.338888443,0.112202132,0.1027646661,0.3888909786,1.118738971,0.9146474271,1.368370858
Uridine,3,Uridine || id:met-a-316,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",0.01177148763,0.01905180802,0.5366628694,1.011841044,0.9747540891,1.050339065,0.1402254333,0.03461422697,0.1540676734,-0.001447300332,0.1641589532,0.000752500765,0.933400976,1.150533138,1.075065455,1.231298518,-0.002858429435,0.00971323716,0.7685425379,0.997145652,0.9783416112,1.016311113,-0.01294281532,0.01406003378,0.4544699261,0.9871405827,0.9603087021,1.01472217
Alanine,2,Alanine || id:met-a-469,multiple sclerosis || id:ieu-b-18,-0.6682441908,0.04901685872,0,0.5126078296,0.4656517537,0.5642989314,NA,NA,NA,NA,NA,NA,0.9611436967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA